ISBN10,Author_id
0195153445,1
0195153448,1
0002005018,2
0060973129,3
0374157065,4
0393045218,5
0399135782,6
0425176428,7
0671870432,8
0679425608,9
074322678X,10
0771074670,11
080652121X,12
0887841740,13
1552041778,14
1558746218,15
1567407781,16
1575663937,17
1881320189,18
0440234743,19
0452264464,20
0609804618,21
1841721522,22
1879384493,23
0061076031,24
0439095026,25
0689821166,26
0971880107,27
0345402871,28
0345417623,28
0684823802,29
0375759778,30
0425163091,31
3404921038,32
3442353866,33
3442410665,34
3442446937,35
0375406328,36
0446310786,37
0449005615,38
0060168013,39
038078243X,40
055321215X,41
067176537X,42
0061099686,43
0553582909,44
0671888587,45
0553582747,44
0425182908,46
042518630X,47
0440223571,48
0812523873,49
0842342702,50
0440225701,19
0060914068,51
0156047624,52
0245542957,53
0380715899,54
0553280333,55
0961769947,56
0964778319,57
0671623249,58
0679810307,59
0679865691,59
2070423204,60
0345260317,61
0394743741,62
042511774X,63
0804106304,6
1853262404,64
0312970242,65
1853260053,66
1414035004,67
0060938412,68
0140067477,69
0345465083,38
0451625889,70
1558531025,71
0441783589,72
0394895894,73
1569871213,74
0375410538,75
0966986105,76
087113375X,77
0340767936,78
0743403843,79
0060930365,80
0060177586,81
0071416331,82
0375509038,83
0553062042,84
0316769487,85
0679429220,86
0671867156,45
0312252617,87
0312261594,88
0316748641,89
0316973742,90
0385235941,91
0446677450,92
0451166892,93
0553347594,94
0671621009,95
067976397X,96
0684822733,97
0786868716,98
0671864769,99
0671521519,100
0440222303,101
0312953453,102
0446608653,103
0446612545,104
0446612618,103
0451208080,105
0553584383,106
0671027360,107
0812575954,108
0316735736,109
0743439740,110
0345372700,111
0380619458,112
0446325805,111
0451406923,113
0671042858,114
0743249992,115
0840734530,116
0425184226,117
0375500766,118
9724119378,119
0451205197,120
0060929790,121
0060976845,122
0061099325,123
0671004573,45
0446601640,124
0330484516,125
038572179X,126
0393020371,127
1900850303,128
1903019699,129
0345425294,130
0451410319,131
0553583468,132
0380778556,133
0451525221,134
0002740230,135
0385336772,136
0440949424,137
0505524996,138
0140252800,139
0451452755,140
0812575482,141
044651747X,124
0060801263,142
0061030147,143
0140250964,144
0446527165,145
0671461494,146
0385337639,147
039575514X,148
0451206673,149
0330332775,150
0486284735,151
0671021745,152
0671047612,152
0671504282,152
0399138684,153
0785263292,154
0830714014,155
0345354931,156
0553278223,157
3150000335,158
3257203659,159
3257207522,160
3257208626,157
3257208634,161
3257208669,162
3257210450,163
3257212054,157
3257212429,157
3257214154,164
3257216416,157
3257233051,165
342311360X,166
3423116714,167
3423241489,168
3426605686,169
3453212150,170
3462021095,171
3492045642,172
3498020862,173
3499110695,174
3499151502,175
3518111000,176
3548254268,177
3570300099,178
3596292646,179
0060977493,180
0312872682,181
0316602906,182
0316693006,182
0345311396,183
0345378490,28
0345404793,183
0345433173,184
0375400117,185
0375705856,186
0380717018,187
0380718332,188
0380754509,189
038076654X,190
0380807866,190
0385316895,191
0385497466,19
0385508042,19
0385509456,192
0385511612,19
0385730586,193
0425164403,194
0440234964,195
0446605484,182
0446610399,196
0449006522,197
0449911004,184
0451162072,114
0451186648,198
0452282152,199
051513290X,200
0553580388,201
0590598848,202
0590629719,203
0671023616,46
0671027387,107
0684848783,204
0743486226,107
0786863986,205
0803251718,206
0804117934,207
140003180X,208
155874262X,209
0060987103,210
0151008116,211
0375704965,212
0525947647,213
0804111359,214
1558744150,15
0435272683,215
0316782505,109
006102063X,216
0060013117,216
0060199563,216
006052779X,217
0060563079,218
0060809027,219
0061040967,220
0061050474,216
0061052515,216
0061052523,216
0064472264,221
0140620664,222
0312148267,223
0312156960,224
0312890044,225
034543191X,226
0373836023,227
0375751513,228
0375801677,229
0375814248,230
0375823352,73
037582345X,73
0375823468,73
0380730448,170
0380973839,157
0385327773,231
0394586239,232
0439510112,233
0440241413,234
0451409256,235
0451523415,236
0451526279,237
